age,gender,year,income
15-19 years,men,2014,28000
15-19 years,men,2015,27900
15-19 years,men,2016,28400
15-19 years,men,2017,29600
15-19 years,men,2018,31300
15-19 years,men,2019,31900
15-19 years,men,2020,32900
15-19 years,men,2021,37500
15-19 years,men,2022,38800
15-19 years,men,2023,39000
20-24 years,men,2014,128700
20-24 years,men,2015,131800
20-24 years,men,2016,136700
20-24 years,men,2017,140000
20-24 years,men,2018,147400
20-24 years,men,2019,149900
20-24 years,men,2020,153400
20-24 years,men,2021,168200
20-24 years,men,2022,167400
20-24 years,men,2023,170700
25-29 years,men,2014,244000
25-29 years,men,2015,246600
25-29 years,men,2016,251400
25-29 years,men,2017,257900
25-29 years,men,2018,268200
25-29 years,men,2019,274500
25-29 years,men,2020,282600
25-29 years,men,2021,297900
25-29 years,men,2022,292900
25-29 years,men,2023,293900
30-34 years,men,2014,363200
30-34 years,men,2015,364300
30-34 years,men,2016,369600
30-34 years,men,2017,375300
30-34 years,men,2018,383500
30-34 years,men,2019,390900
30-34 years,men,2020,406400
30-34 years,men,2021,419300
30-34 years,men,2022,405600
30-34 years,men,2023,405900
35-39 years,men,2014,439400
35-39 years,men,2015,442600
35-39 years,men,2016,447800
35-39 years,men,2017,451000
35-39 years,men,2018,456300
35-39 years,men,2019,463000
35-39 years,men,2020,478500
35-39 years,men,2021,491900
35-39 years,men,2022,476100
35-39 years,men,2023,469700
40-44 years,men,2014,488200
40-44 years,men,2015,498600
40-44 years,men,2016,505000
40-44 years,men,2017,511900
40-44 years,men,2018,518100
40-44 years,men,2019,525000
40-44 years,men,2020,542500
40-44 years,men,2021,552500
40-44 years,men,2022,522000
40-44 years,men,2023,517700
45-49 years,men,2014,500000
45-49 years,men,2015,510500
45-49 years,men,2016,527300
45-49 years,men,2017,539100
45-49 years,men,2018,548800
45-49 years,men,2019,561100
45-49 years,men,2020,584700
45-49 years,men,2021,598600
45-49 years,men,2022,565900
45-49 years,men,2023,559400
50-54 years,men,2014,475500
50-54 years,men,2015,495300
50-54 years,men,2016,510700
50-54 years,men,2017,527500
50-54 years,men,2018,534700
50-54 years,men,2019,551600
50-54 years,men,2020,571800
50-54 years,men,2021,595200
50-54 years,men,2022,564700
50-54 years,men,2023,567400
55-59 years,men,2014,444400
55-59 years,men,2015,454900
55-59 years,men,2016,465900
55-59 years,men,2017,480600
55-59 years,men,2018,487800
55-59 years,men,2019,505100
55-59 years,men,2020,526300
55-59 years,men,2021,552600
55-59 years,men,2022,525800
55-59 years,men,2023,528300
60-64 years,men,2014,317400
60-64 years,men,2015,338500
60-64 years,men,2016,354500
60-64 years,men,2017,374900
60-64 years,men,2018,393600
60-64 years,men,2019,411400
60-64 years,men,2020,430600
60-64 years,men,2021,454300
60-64 years,men,2022,430100
60-64 years,men,2023,443300
65-69 years,men,2014,118700
65-69 years,men,2015,126000
65-69 years,men,2016,133700
65-69 years,men,2017,148300
65-69 years,men,2018,148200
65-69 years,men,2019,163300
65-69 years,men,2020,180500
65-69 years,men,2021,208400
65-69 years,men,2022,205600
65-69 years,men,2023,222700
70-74 years,men,2014,44000
70-74 years,men,2015,49400
70-74 years,men,2016,50500
70-74 years,men,2017,53700
70-74 years,men,2018,52700
70-74 years,men,2019,57600
70-74 years,men,2020,59500
70-74 years,men,2021,66500
70-74 years,men,2022,61500
70-74 years,men,2023,65100
75-79 years,men,2014,20200
75-79 years,men,2015,22500
75-79 years,men,2016,26500
75-79 years,men,2017,28300
75-79 years,men,2018,27600
75-79 years,men,2019,31900
75-79 years,men,2020,28300
75-79 years,men,2021,36600
75-79 years,men,2022,27600
75-79 years,men,2023,30700
80 years and over,men,2014,8900
80 years and over,men,2015,10300
80 years and over,men,2016,10500
80 years and over,men,2017,12800
80 years and over,men,2018,13800
80 years and over,men,2019,15200
80 years and over,men,2020,13500
80 years and over,men,2021,18400
80 years and over,men,2022,15400
80 years and over,men,2023,17000
15-19 years,women,2014,25300
15-19 years,women,2015,25400
15-19 years,women,2016,26000
15-19 years,women,2017,26500
15-19 years,women,2018,27700
15-19 years,women,2019,28100
15-19 years,women,2020,28400
15-19 years,women,2021,32800
15-19 years,women,2022,32700
15-19 years,women,2023,31400
20-24 years,women,2014,100200
20-24 years,women,2015,102300
20-24 years,women,2016,104500
20-24 years,women,2017,107800
20-24 years,women,2018,112400
20-24 years,women,2019,115000
20-24 years,women,2020,119300
20-24 years,women,2021,134600
20-24 years,women,2022,130600
20-24 years,women,2023,132200
25-29 years,women,2014,188200
25-29 years,women,2015,189100
25-29 years,women,2016,192200
25-29 years,women,2017,197100
25-29 years,women,2018,205400
25-29 years,women,2019,211000
25-29 years,women,2020,220800
25-29 years,women,2021,235100
25-29 years,women,2022,229900
25-29 years,women,2023,231400
30-34 years,women,2014,273600
30-34 years,women,2015,274000
30-34 years,women,2016,275200
30-34 years,women,2017,277800
30-34 years,women,2018,283800
30-34 years,women,2019,291200
30-34 years,women,2020,305900
30-34 years,women,2021,317800
30-34 years,women,2022,309300
30-34 years,women,2023,311900
35-39 years,women,2014,323700
35-39 years,women,2015,327500
35-39 years,women,2016,328100
35-39 years,women,2017,330200
35-39 years,women,2018,333800
35-39 years,women,2019,337800
35-39 years,women,2020,354500
35-39 years,women,2021,360800
35-39 years,women,2022,344600
35-39 years,women,2023,346800
40-44 years,women,2014,353200
40-44 years,women,2015,359000
40-44 years,women,2016,362600
40-44 years,women,2017,365100
40-44 years,women,2018,371700
40-44 years,women,2019,377000
40-44 years,women,2020,397500
40-44 years,women,2021,401600
40-44 years,women,2022,379600
40-44 years,women,2023,378300
45-49 years,women,2014,362100
45-49 years,women,2015,368600
45-49 years,women,2016,375500
45-49 years,women,2017,380500
45-49 years,women,2018,387700
45-49 years,women,2019,395800
45-49 years,women,2020,417600
45-49 years,women,2021,422900
45-49 years,women,2022,397200
45-49 years,women,2023,396800
50-54 years,women,2014,349400
50-54 years,women,2015,357800
50-54 years,women,2016,365800
50-54 years,women,2017,372500
50-54 years,women,2018,378200
50-54 years,women,2019,387400
50-54 years,women,2020,407900
50-54 years,women,2021,415400
50-54 years,women,2022,391300
50-54 years,women,2023,394300
55-59 years,women,2014,326500
55-59 years,women,2015,332400
55-59 years,women,2016,338800
55-59 years,women,2017,342200
55-59 years,women,2018,350200
55-59 years,women,2019,358300
55-59 years,women,2020,378900
55-59 years,women,2021,387000
55-59 years,women,2022,362500
55-59 years,women,2023,364300
60-64 years,women,2014,201700
60-64 years,women,2015,216200
