city,lat,lng,country,iso2,admin_name,capital,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Copenhagen,55.6761,12.5683,Denmark,DK,Hovedstaden,primary,"1,213,822","1,230,728","1,246,611","1,263,698","1,280,371","1,295,686","1,308,893","1,320,629","1,330,993","1,336,982","1,345,562","1,363,296"
Aarhus,56.1572,10.2107,Denmark,DK,Midtjylland,minor,"252,213","256,018","259,754","261,570","264,716","269,022","273,077","277,086","280,534","282,910","285,273","290,598"
Odense,55.3958,10.3886,Denmark,DK,Syddanmark,minor,"168,798","170,327","172,512","173,814","175,245","176,683","178,210","179,601","180,302","180,760","180,863","182,387"
Aalborg,57.05,9.9167,Denmark,DK,Nordjylland,admin,"104,885","106,916","109,092","110,495","112,194","113,417","114,194","115,908","117,351","119,219","119,862","120,914"
Esbjerg,55.4833,8.45,Denmark,DK,Syddanmark,minor,"71,579","71,491","71,618","72,060","72,151","72,261","72,398","72,168","72,037","72,044","71,698","71,921"
Randers,56.457,10.039,Denmark,DK,Midtjylland,minor,"61,121","60,895","61,163","61,664","62,342","62,563","62,687","62,586","62,482","62,623","62,802","64,057"
Horsens,55.8583,9.85,Denmark,DK,Midtjylland,minor,"54,450","55,253","55,884","56,536","57,517","58,480","58,646","59,181","59,449","59,966","61,074","63,162"
Kolding,55.4917,9.5,Denmark,DK,Syddanmark,minor,"57,540","57,583","58,021","58,757","59,712","60,300","60,508","60,854","61,121","61,222","61,638","62,338"
Vejle,55.7167,9.5333,Denmark,DK,Syddanmark,admin,"51,804","52,449","53,230","53,975","54,862","55,876","56,567","57,051","57,655","58,777","60,231","61,310"
Roskilde,55.65,12.0833,Denmark,DK,Sjælland,minor,"47,828","48,186","48,721","49,297","50,046","50,393","50,781","51,121","51,262","51,793","51,916","52,580"
Herning,56.1333,8.9833,Denmark,DK,Midtjylland,minor,"46,873","47,271","47,765","47,911","48,531","49,229","49,716","50,039","50,332","50,531","50,565","51,193"
Silkeborg,56.1833,9.5517,Denmark,DK,Midtjylland,minor,"42,807","42,910","43,158","43,351","43,885","44,333","45,126","46,179","46,923","48,369","49,747","50,866"
Hørsholm,55.8803,12.5081,Denmark,DK,Hovedstaden,minor,"45,865","46,104","46,229","46,717","47,000","47,294","47,489","47,487","47,499","47,869","47,680","47,836"
Helsingør,56.0361,12.6083,Denmark,DK,Hovedstaden,minor,"46,368","46,474","46,407","46,492","46,829","47,123","47,364","47,346","47,461","47,483","47,257","47,563"
Næstved,55.225,11.7583,Denmark,DK,Sjælland,minor,"41,857","42,141","42,424","42,588","42,979","43,234","43,508","43,440","43,803","43,890","44,331","44,996"
Viborg,56.4333,9.4,Denmark,DK,Midtjylland,admin,"37,635","38,261","38,572","39,228","39,856","40,371","40,621","40,768","40,778","41,079","41,239","42,234"
Fredericia,55.5667,9.75,Denmark,DK,Syddanmark,minor,"39,797","39,914","39,922","40,046","40,248","40,461","41,044","41,108","40,981","40,814","40,886","41,243"
