ranking,club name,country,point score,1 year change,symbol change
65,1. FC K?ln,Germany,1668,160,+
34,1. FC Union Berlin,Germany,1748,32,+
967,12 de Octubre de Itaugua,Paraguay,1352,270,-
265,1o de Agosto,Angola,1512,11,-
2530,1o de Maio,Angola,1218,24,-
1189,2 de Mayo,Paraguay,1326,8,-
1213,3 de Febrero,Paraguay,1324,10,-
727,AaB,Denmark,1388,12,+
2141,Aalesund,Norway,1248,329,+
1873,Aarau,Switzerland,1266,7,-
888,Aberdeen,Scotland,1361,419,-
1638,Aberystwyth,Wales,1286,145,-
1323,Abha Club,Saudi Arabia,1312,41,+
945,Abia Warriors,Nigeria,1354,151,-
2020,ABM Galaxy FC,Vanuatu,1255,1,-
1538,Aboomoslem,Iran,1292,32,-
2014,AC Horsens,Denmark,1255,0,-
2139,AC Kuya Sport,Congo DR,1249,33,-
2712,AC LALA FC,Venezuela,1180,174,-
2267,AC Mamahira,Mali,1241,37,-
6,AC Milan,Italy,1900,11,+
1521,AC Oulu,Finland,1293,278,+
2299,AC Rangers,Denmark,1238,90,+
2259,Academia Cantolao,Peru,1241,729,-
1128,Academia F. Amadou Diallo,Ivory Coast,1332,256,-
1811,Academia Puerto Cabello,Venezuela,1270,9,-
2639,Academia Quintana,Puerto Rico,1201,12,-
1237,Acad��mica,Portugal,1322,6,-
1774,Acad��mica do Soyo,Angola,1272,2,-
1963,Acad��mica Lobito,Angola,1259,421,+
1591,Accra Great Olympics,Ghana,1288,114,+
2070,Accra Lions FC,Ghana,1252,37,+
2641,ACS FC Academica Clinceni,Romania,1200,1615,-
1779,ACS Poli Timi?oara,Romania,1272,4,-
1139,AD Grecia FC,Costa Rica,1331,112,+
1643,AD Guanacasteca,Costa Rica,1285,202,-
2541,AD Municipal Liberia,Costa Rica,1217,23,-
1738,AD Uni��n Magdalena,Colombia,1276,483,-
2538,Adamawa United,Nigeria,1217,154,-
582,Adana Demirspor,Turkey,1417,379,+
1581,Adanaspor,Turkey,1289,21,-
955,Adelaide United,Australia,1353,60,+
2004,Admira Wacker M?dling,Austria,1256,283,+
1613,ADO Den Haag,Netherlands,1287,22,-
929,Aduana Stars,Ghana,1356,72,-
2215,Adzop��,Ivory Coast,1244,42,-
2497,AE Kouklion,Cyprus,1221,29,-
225,AEK,Greece,1530,42,-
243,AEK Larnaca,Cyprus,1523,36,+
1931,AEL Kalloni FC,Greece,1261,5,-
361,AEL Limassol,Cyprus,1473,87,-
2377,AEZ Zakakiou,Cyprus,1232,37,-
2703,Afan Lido,Wales,1185,8,-
267,AFC Bournemouth,England,1512,1,-
2304,AFC Eskilstuna,Sweden,1237,45,-
1380,AFC Herrmannstadt Sibiu,Romania,1305,5,-
1100,AFC UTA Arad,Romania,1336,202,+
1234,Africa Sports National,Ivory Coast,1322,7,-
851,AGF,Denmark,1367,340,-
732,��guila,El Salvador,1387,165,+
1440,��guilas,Costa Rica,1300,3,-
770,��guilas Doradas,Colombia,1380,49,+
2115,Ahal FK,Turkmenistan,1250,8,-
1450,Aigle Royal,Cameroon,1299,29,-
209,AIK,Sweden,1538,72,+
2117,A?n Fakroun,Algeria,1250,47,-
2694,Air Force Central FC,Thailand,1188,8,-
2466,Air India,India,1224,26,-
1461,Airbus UK Broughton FC,Wales,1299,27,-
1714,Aizawl,India,1278,114,-
832,Ajaccio,France,1369,17,-
961,Ajax,Congo DR,1352,17,-
7,Ajax Amsterdam,Netherlands,1899,3,+
1117,Ajax Cape Town,South Africa,1334,9,-
2730,Ajax Lasnam?e,Estonia,1173,6,-
2360,Ajman Club,United Arab Emirates,1233,239,+
1375,Akademija Pandev,Macedonia,1306,416,+
2185,Akademik Sofia,Bulgaria,1246,43,-
1008,Akhisar Belediye,Turkey,1345,4,-
1843,Akokana,Niger,1268,10,-
883,Aktobe,Kazakhstan,1362,20,-
1394,Akwa Starlets,Nigeria,1303,77,-
530,Akwa United,Nigeria,1428,49,-
1914,Akzhaiyk Uralsk,Kazakhstan,1263,36,-
2140,AL Adalh FC,Saudi Arabia,1248,41,-
483,AL Ahed,Lebanon,1438,160,+
345,Al Ahli,United Arab Emirates,1478,32,-
1634,Al Ahli,Qatar,1286,5,-
2015,Al Ahli Khartoum,Sudan,1255,0,-
2672,Al Ahli SC Amman,Jordan,1193,8,-
1509,Al Ahli Tripoli,Libya,1295,21,-
2361,Al Ahli Wad Medani,Sudan,1233,38,-
61,Al Ahly,Egypt,1683,15,-
1878,Al Ahly Benghazi,Libya,1265,8,-
2083,Al Ahly Merowe,Sudan,1252,0,-
791,Al Ahly Shendi,Sudan,1376,19,-
2144,Al Akhaa Al Ahli,Lebanon,1248,222,-
2400,Al Amir,Sudan,1230,30,-
2434,Al Ansar FC (Medina),Saudi Arabia,1226,29,-
855,AL Ansar SC,Lebanon,1366,83,+
2492,Al Asalah,Jordan,1221,30,-
1537,Al Batin,Saudi Arabia,1292,24,-
2717,Al Egtmaaey Tripoli,Lebanon,1179,4,-
892,AL Ettifaq FC,Saudi Arabia,1361,108,-
2112,Al Fallah Atbara FC,Sudan,1250,50,-
780,Al Fateh FC,Saudi Arabia,1378,18,+
1309,Al Feiha,Saudi Arabia,1313,212,+
2688,Al Fujairah,United Arab Emirates,1189,7,-
948,AL Gharafa,Qatar,1354,226,-
2622,AL Hazem FC,Saudi Arabia,1204,113,-
67,Al Hilal,Saudi Arabia,1663,19,+
1920,Al Hilal Kadougli,Sudan,1262,6,-
272,Al Hilal Omdurman,Sudan,1510,38,-
2344,Al Hilal Port Sudan,Sudan,1234,41,-
2592,Al Islah Bourg Shamaly,Lebanon,1209,18,-
289,Al Ittihad,Saudi Arabia,1501,161,+
2555,Al Ittihad,Sudan,1215,23,-
2614,Al Ittihad Kalba,United Arab Emirates,1206,67,+
835,Al Khartoum SC,Sudan,1369,14,-
762,Al Masry,Egypt,1381,305,-
2647,Al Mesaimeer,Qatar,1199,12,-
1033,Al Mokawloon Al Arab,Egypt,1342,213,-
2472,Al Mourada,Sudan,1223,26,-
1898,Al Nahdha Dammam,Saudi Arabia,1264,4,-
793,Al Nasr,United Arab Emirates,1376,110,-
2419,Al Nasr FC,Egypt,1228,31,-
195,Al Nassr,Saudi Arabia,1548,19,+
1407,AL Qadisiyah FC,Saudi Arabia,1303,3,-
2188,Al Qadsia,Kuwait,1245,44,-
2146,Al Quwa Al Jawiya,Iraq,1248,131,+
2579,Al Rabta Kosti,Sudan,1212,22,-
1341,Al Raed,Saudi Arabia,1309,226,-
1857,AL Safa,Lebanon,1267,149,-
261,Al Shabab,Saudi Arabia,1514,130,+
944,Al Shabab,United Arab Emirates,1354,15,-
2465,Al Shabab Al Arabi Beirut,Lebanon,1224,26,-
1991,Al Sharkeyah,Egypt,1257,3,-
2611,Al Shimali,Sudan,1206,16,-
1637,Al Shoalah,Saudi Arabia,1286,15,-
2449,Al Shorta Al Qadarif,Sudan,1225,26,-
2055,AL Shorta SC,Iraq,1253,0,-
635,Al Taawon,Saudi Arabia,1403,50,-
2461,AL Tadamon Sour,Lebanon,1224,103,-
2414,Al Urooba Club,United Arab Emirates,1228,308,-
433,Al Wahda,United Arab Emirates,1452,11,-
1423,Al Wahda,Saudi Arabia,1301,1,-
1337,Al Wasl,United Arab Emirates,1310,65,+
638,Al-Ahli,Saudi Arabia,1402,140,-
2206,Al-Ahli Atbara,Sudan,1244,39,-
249,Al-Ain FC,United Arab Emirates,1520,62,+
2037,Al-Ain FC,Saudi Arabia,1254,1,-
1129,Al-Arabi Doha,Qatar,1332,138,+
2754,Al-Baqa'a SC,Jordan,1156,66,-
1751,Al-Bourj FC,Lebanon,1275,202,+
2310,Al-Dhafra,United Arab Emirates,1237,46,-
101,Al-Duhail SC,Qatar,1623,12,+
822,Al-Faisaly FC Harmah,Saudi Arabia,1371,1,+
1018,Al-Faisaly SC Amman,Jordan,1344,124,+
2660,Al-Hikma,Lebanon,1195,10,-
2159,Al-Hussein SC Irbid,Jordan,1247,387,+
848,Al-Ittihad,Libya,1367,13,-
1058,Al-Ittihad Al-Sakandary,Egypt,1340,66,-
2396,Al-Jalil,Jordan,1230,143,-
1135,Al-Jazeera Amman,Jordan,1331,240,-
706,Al-Jazira,United Arab Emirates,1391,309,-
1398,Al-Khaleej Club,Saudi Arabia,1303,4,-
2561,Al-Kharitiyat,Qatar,1214,10,-
2253,Al-Khor,Qatar,1241,244,-
2212,Al-Markhiya Sports Club,Qatar,1244,42,-
2598,Al-Mergheni,Sudan,1209,17,-
329,Al-Merreikh,Sudan,1486,34,-
2616,Al-Nil,Sudan,1206,13,-
1771,Al-Orobah FC,Saudi Arabia,1273,2,-
1276,Al-Ramtha SC,Jordan,1317,137,+
601,Al-Rayyan,Qatar,1410,71,+
149,Al-Sadd,Qatar,1578,19,-
1652,Al-Sailiya,Qatar,1284,234,-
1580,Al-Salt,Jordan,1289,124,+
2674,Al-Sareeh SC,Jordan,1193,3,-
2738,Al-Shaab,United Arab Emirates,1169,3,-
2330,Al-Shahania S.C.,Qatar,1235,40,-
2665,Al-Shamal SC,Qatar,1194,47,+
1344,Al-Tai FC,Saudi Arabia,1309,97,+
1595,Al-Wakra,Qatar,1288,332,+
545,Al-Wehdat SC,Jordan,1425,47,+
2562,Al-Yarmouk FC,Jordan,1214,23,-
1619,Al-Zawraa SC,Iraq,1287,49,+
2681,Ala'ab Damanhour,Egypt,1190,9,-
2585,Alacranes del Norte,El Salvador,1210,20,-
2002,Alamal Atbara,Sudan,1256,2,-
1460,Alaniya,Russia,1299,27,-
336,Alanyaspor,Turkey,1482,51,+
